file,coverage,evidence
docs/evidence/repository-audit-2026-09-12.json,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/task-control-s1a.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/ui-01.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/evidence/workbench.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/group-and-preview-design.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/harness-decision.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/internationalization.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/README.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/aws.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/data-uri.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/koffi.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/libvips-license.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/libvips-third-party-notices.md.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/pi.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/licenses/xterm.txt,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/m0-design.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/member-behavior-contract.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/preflight-review.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/release-readiness.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/repository-audit-2026-09-12.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/requirements-review-2026-09-12.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/requirements.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/research-and-decisions.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/scoped-workspaces-slice.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/status.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/task-control-s1.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/task-execution-design.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/ui-workbench-design.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/updates-and-browser-selection.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
docs/workbench-design.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
electron-builder.yml,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
package-lock.json,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
package.json,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
scripts/audit-browser.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/audit-current.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/audit-design.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/audit-release-source.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/build-app-icon.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/build.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/generate-third-party-notices.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-approval.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-collaboration.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-concurrent.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-dependency.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-doc-team.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-e05a.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-group-control.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-group.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-handoff.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-member-model.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-memory.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-outcomes.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-output-dir.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-public-replies.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-research-quality.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-rework.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-search-group.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-selection.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-silent.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-task-control.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-task.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-team.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-ui-final.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/live-vision-capture.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/prepare-runtime.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-artifact-links.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-artifact-snapshot.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-desktop.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-lifecycle-locale.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-package.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-related-snapshot.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-right-panel.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-scoped-workspaces.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-ui-review.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/smoke-workbench.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
scripts/test-tools.mjs,script inventory; selected execution only,comprehensive-audit-2026-09-12.md
src/desktop/artifact-references.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/context-menu.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/icons.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/identity.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/index.html,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/layout.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/localization.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/main.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/markdown.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/mentions.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/preload.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/preview.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/renderer.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/secure-prompt-preload.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/secure-prompt.html,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/secure-prompt.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/settings-renderer.ts,module/source review,comprehensive-audit-2026-09-12.md
src/desktop/settings.html,module/source review,comprehensive-audit-2026-09-12.md
src/models/config.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/approval-policy.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/attention.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/conversation-session.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/group-routing.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/model-status.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/probe.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/sidecar.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/supervisor.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/task-host.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/task-sidecar.ts,module/source review,comprehensive-audit-2026-09-12.md
src/runtime/tools-plugin.ts,module/source review,comprehensive-audit-2026-09-12.md
src/shared/artifacts.ts,module/source review,comprehensive-audit-2026-09-12.md
src/shared/contracts.ts,module/source review,comprehensive-audit-2026-09-12.md
src/shared/i18n.ts,module/source review,comprehensive-audit-2026-09-12.md
src/shared/public-reply.ts,module/source review,comprehensive-audit-2026-09-12.md
src/state/settings.ts,module/source review,comprehensive-audit-2026-09-12.md
src/state/tasks.ts,module/source review,comprehensive-audit-2026-09-12.md
src/state/workbench-migrations.ts,module/source review,comprehensive-audit-2026-09-12.md
src/state/workbench.ts,module/source review,comprehensive-audit-2026-09-12.md
src/tools/browser.ts,module/source review,comprehensive-audit-2026-09-12.md
src/tools/file-worker.ts,module/source review,comprehensive-audit-2026-09-12.md
src/tools/hardlinks.ts,module/source review,comprehensive-audit-2026-09-12.md
src/tools/lease.ts,module/source review,comprehensive-audit-2026-09-12.md
src/tools/local.ts,module/source review,comprehensive-audit-2026-09-12.md
src/tools/web-search.ts,module/source review,comprehensive-audit-2026-09-12.md
tasks/history/2026-09-09-prototype.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
tasks/plan.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
tasks/todo.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
tasks/ui-optimization-plan.md,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
tests/approval-policy.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/artifact-references.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/artifact-rework.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/artifacts.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/attention.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/correction.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/delivery-quality.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/dependencies.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/fixtures/team-from-document/README.md,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/fixtures/team-from-document/explicit-five-roles.md,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/fixtures/team-from-document/source-local.md,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/grants.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/group-routing.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/handoff.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/hardlinks.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/identity.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/lease.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/localization.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/memory.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/model-status.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/runtime.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/scoped-tools.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/scoped-workspaces.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/session-outcome.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/settings.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/silent-protocol.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/summary-readonly.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/task-control.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/tool-reap.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/web-search.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/workbench-approvals.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tests/workbench.test.ts,test contract and coverage review,comprehensive-audit-2026-09-12.md
tsconfig.json,requirements or engineering inventory,comprehensive-audit-2026-09-12.md
